participant_id,participant_name,participant_name_chi
B01326,MORGAN FUEL GO SECURITIES LTD,摩根富國證券有限公司
B01328,BAN HIN SECURITIES CO LTD,萬興證券有限公司
B01329,BLOOMYEARS LTD,昌萬年有限公司
B01330,NOMURA SECURITIES (HK) LTD,NOMURA SECURITIES (HK) LTD
B01331,WALCO SECURITIES CO,WALCO SECURITIES CO
B01332,NEW GALA SECURITIES CO,NEW GALA SECURITIES CO
B01335,PLASIA SECURITIES CO,PLASIA SECURITIES CO
B01337,TAI FAT SECURITIES CO,TAI FAT SECURITIES CO
B01338,EMPEROR SECURITIES LTD,英皇證券(香港)有限公司
B01340,LEHIN SECURITIES LTD,利興股票有限公司
B01341,TUNG TAI SECURITIES CO LTD,東泰證券有限公司
B01342,WAH THAI SECURITIES LTD,WAH THAI SECURITIES LTD
B01343,CELETIO INVESTMENTS LTD,展兆投資有限公司
B01344,DAIWA SECURITIES SMBC (ASIA) LTD,DAIWA SECURITIES SMBC (ASIA) LTD
B01345,PHILLIP SECURITIES (HONG KONG) LTD,輝立証券(香港)有限公司
B01346,CHINA PACIFIC SECURITIES LTD,CHINA PACIFIC SECURITIES LTD
B01347,CGS-CIMB SECURITIES (HONG KONG) LTD,銀河—聯昌證券(香港)有限公司
